instance,description,status,plan,error
instance-447.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.",ok,"unstack a from b;
put down a;
unstack b from c;
put down b;
pick up a;
stack a on c;
",
instance-448.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
c is on d.
d is on b.",ok,"unstack a from c;
put down a;
pick up c;
stack c on d;
pick up a;
stack a on c;
",
instance-449.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
b is on a.
d is on c.",ok,"unstack b from c;
put down b;
unstack d from a;
stack d on c;
pick up a;
stack a on d;
pick up b;
stack b on a;
",
instance-450.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on c.
d is on a.",ok,"unstack d from a;
put down d;
unstack a from b;
put down a;
pick up b;
stack b on c;
pick up a;
stack a on b;
pick up d;
stack d on a;
",
instance-451.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
c is on d.
d is on a.",ok,"unstack d from c;
put down d;
unstack c from b;
stack c on d;
unstack b from a;
put down b;
pick up a;
stack a on b;
unstack c from d;
put down c;
pick up d;
stack d on a;
pick up c;
stack c on d;
",
instance-452.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on c.
c is on a.
d is on b.",ok,"unstack b from c;
put down b;
pick up c;
stack c on a;
pick up b;
stack b on c;
pick up d;
stack d on b;
",
instance-453.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
c is on d.
d is on a.",ok,"unstack a from b;
put down a;
unstack b from d;
put down b;
pick up a;
stack a on b;
unstack d from c;
stack d on a;
pick up c;
stack c on d;
",
instance-454.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on c.
c is on a.",ok,"unstack b from c;
put down b;
unstack c from d;
stack c on a;
pick up b;
stack b on c;
",
instance-455.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on d.",ok,"unstack b from c;
put down b;
unstack c from a;
stack c on d;
",
instance-456.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on c.
c is on d.",ok,"unstack d from b;
put down d;
pick up a;
stack a on b;
pick up c;
stack c on d;
unstack a from b;
put down a;
pick up b;
stack b on c;
pick up a;
stack a on b;
",
instance-457.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on d.
c is on b.",ok,"unstack a from b;
put down a;
unstack b from d;
put down b;
unstack d from c;
put down d;
pick up b;
stack b on d;
pick up c;
stack c on b;
",
instance-458.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on a.
c is on d.",ok,"unstack c from a;
put down c;
unstack a from d;
put down a;
pick up b;
stack b on a;
pick up c;
stack c on d;
",
instance-459.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
c is on a.",ok,"unstack c from d;
put down c;
unstack d from a;
put down d;
pick up a;
stack a on b;
pick up c;
stack c on a;
",
instance-460.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
c is on b.",ok,"unstack a from b;
put down a;
unstack b from d;
put down b;
unstack d from c;
put down d;
pick up c;
stack c on b;
pick up a;
stack a on d;
",
instance-461.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
b is on a.
c is on b.",ok,"unstack d from a;
put down d;
pick up a;
stack a on d;
pick up b;
stack b on a;
pick up c;
stack c on b;
",
instance-462.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
d is on b.",ok,"unstack c from a;
put down c;
unstack a from d;
put down a;
pick up d;
stack d on b;
",
instance-463.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
c is on b.",ok,"unstack c from a;
put down c;
unstack a from b;
stack a on d;
pick up c;
stack c on b;
",
instance-464.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on c.",ok,"unstack d from c;
put down d;
pick up b;
stack b on c;
pick up a;
stack a on b;
",
instance-465.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on a.
c is on b.
d is on c.",ok,"unstack d from a;
put down d;
unstack a from c;
put down a;
unstack c from b;
put down c;
pick up b;
stack b on a;
pick up c;
stack c on b;
pick up d;
stack d on c;
",
instance-466.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
b is on d.
c is on b.",ok,"unstack d from b;
put down d;
unstack b from a;
stack b on d;
unstack a from c;
put down a;
pick up c;
stack c on b;
pick up a;
stack a on c;
",
instance-467.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
b is on c.
c is on a.",ok,"unstack c from d;
put down c;
unstack d from a;
put down d;
unstack a from b;
stack a on d;
pick up c;
stack c on a;
pick up b;
stack b on c;
",
instance-468.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
d is on a.",ok,"unstack d from b;
put down d;
unstack b from c;
put down b;
unstack c from a;
put down c;
pick up d;
stack d on a;
",
instance-469.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
b is on a.
c is on d.",ok,"unstack d from b;
put down d;
pick up b;
stack b on a;
pick up c;
stack c on d;
unstack b from a;
put down b;
pick up a;
stack a on c;
pick up b;
stack b on a;
",
instance-470.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
d is on b.",ok,"unstack c from b;
put down c;
unstack b from d;
put down b;
pick up d;
stack d on b;
",
instance-471.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on c.
c is on d.
d is on a.",ok,"unstack a from c;
put down a;
pick up d;
stack d on a;
unstack c from b;
stack c on d;
pick up b;
stack b on c;
",
instance-472.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
b is on a.",ok,"unstack d from b;
put down d;
unstack b from c;
put down b;
pick up a;
stack a on c;
pick up b;
stack b on a;
",
instance-473.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
c is on d.",ok,"unstack a from d;
put down a;
pick up c;
stack c on d;
pick up a;
stack a on c;
",
instance-474.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
c is on a.",ok,"unstack a from b;
put down a;
unstack b from d;
put down b;
pick up a;
stack a on d;
pick up c;
stack c on a;
",
instance-475.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
d is on a.",ok,"unstack c from d;
put down c;
pick up d;
stack d on a;
",
instance-476.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on c.
c is on d.",ok,"unstack a from b;
put down a;
unstack b from d;
put down b;
pick up c;
stack c on d;
pick up b;
stack b on c;
pick up a;
stack a on b;
",
instance-477.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
c is on d.",ok,"unstack c from d;
put down c;
unstack d from a;
put down d;
pick up c;
stack c on d;
pick up a;
stack a on c;
",
instance-478.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
c is on b.",ok,"unstack c from d;
stack c on b;
pick up a;
stack a on c;
",
instance-479.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on c.
c is on a.
d is on b.",ok,"unstack d from a;
stack d on b;
unstack a from c;
put down a;
pick up c;
stack c on a;
unstack d from b;
put down d;
pick up b;
stack b on c;
pick up d;
stack d on b;
",
instance-480.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on d.
c is on b.",ok,"unstack a from c;
put down a;
unstack c from b;
put down c;
pick up b;
stack b on d;
pick up c;
stack c on b;
",
instance-481.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on d.
c is on b.
d is on a.",ok,"unstack a from c;
put down a;
unstack b from d;
put down b;
pick up c;
stack c on b;
pick up d;
stack d on a;
unstack c from b;
put down c;
pick up b;
stack b on d;
pick up c;
stack c on b;
",
instance-482.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on b.",ok,"unstack a from b;
put down a;
unstack b from c;
put down b;
pick up c;
stack c on b;
",
instance-483.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on c.
d is on a.",ok,"unstack a from b;
put down a;
unstack b from d;
stack b on c;
pick up d;
stack d on a;
",
instance-484.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on d.
d is on c.",ok,"unstack c from d;
put down c;
unstack d from b;
stack d on c;
pick up b;
stack b on d;
",
instance-485.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
d is on c.",ok,"pick up a;
stack a on b;
pick up d;
stack d on c;
",
instance-486.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.",ok,"unstack b from a;
put down b;
unstack a from c;
stack a on b;
",
instance-487.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
c is on a.
d is on b.",ok,"unstack d from c;
put down d;
unstack c from a;
put down c;
unstack a from b;
put down a;
pick up d;
stack d on b;
pick up a;
stack a on d;
pick up c;
stack c on a;
",
instance-488.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on c.
d is on a.",ok,"unstack d from c;
put down d;
unstack c from a;
put down c;
pick up d;
stack d on a;
pick up b;
stack b on c;
unstack d from a;
put down d;
pick up a;
stack a on b;
pick up d;
stack d on a;
",
instance-489.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on d.
c is on b.
d is on a.",ok,"unstack d from b;
put down d;
unstack b from c;
stack b on d;
unstack c from a;
put down c;
unstack b from d;
put down b;
pick up c;
stack c on b;
pick up d;
stack d on a;
unstack c from b;
put down c;
pick up b;
stack b on d;
pick up c;
stack c on b;
",
instance-490.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
d is on c.",ok,"unstack a from c;
put down a;
pick up d;
stack d on c;
",
instance-491.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
b is on a.",ok,"unstack b from a;
put down b;
unstack a from c;
stack a on d;
pick up b;
stack b on a;
",
instance-492.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
c is on d.
d is on a.",ok,"unstack a from d;
stack a on b;
pick up d;
stack d on a;
pick up c;
stack c on d;
",
instance-493.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on b.
d is on c.",ok,"unstack a from b;
put down a;
unstack b from c;
put down b;
pick up c;
stack c on b;
pick up d;
stack d on c;
",
instance-494.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.",ok,"unstack d from b;
put down d;
unstack b from a;
put down b;
pick up a;
stack a on c;
",
instance-495.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on a.
c is on b.",ok,"unstack c from d;
put down c;
unstack d from b;
put down d;
pick up c;
stack c on b;
",
instance-496.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
d is on a.",ok,"unstack d from c;
put down d;
unstack c from a;
put down c;
pick up d;
stack d on a;
",
instance-497.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on d.",ok,"unstack b from c;
put down b;
unstack c from a;
put down c;
unstack a from d;
put down a;
pick up b;
stack b on d;
pick up a;
stack a on b;
",
instance-498.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on d.",ok,"unstack a from c;
put down a;
unstack c from d;
put down c;
pick up b;
stack b on d;
",
instance-499.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on a.
c is on d.
d is on b.",ok,"unstack d from a;
put down d;
unstack a from c;
put down a;
unstack c from b;
stack c on d;
pick up b;
stack b on a;
unstack c from d;
put down c;
pick up d;
stack d on b;
pick up c;
stack c on d;
",
instance-500.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on c.",ok,"unstack c from b;
put down c;
pick up b;
stack b on c;
pick up a;
stack a on b;
",
instance-501.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on a.
d is on c.",ok,"pick up c;
stack c on a;
pick up d;
stack d on c;
",
instance-502.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
b is on a.
d is on b.",ok,"unstack d from b;
put down d;
unstack b from c;
put down b;
pick up a;
stack a on c;
pick up b;
stack b on a;
pick up d;
stack d on b;
",
instance-503.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on c.
c is on d.",ok,"unstack d from a;
put down d;
unstack a from b;
put down a;
unstack b from c;
put down b;
pick up c;
stack c on d;
pick up b;
stack b on c;
",
instance-504.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on d.
c is on a.
d is on c.",ok,"unstack a from c;
put down a;
unstack c from b;
stack c on a;
unstack b from d;
put down b;
pick up d;
stack d on c;
pick up b;
stack b on d;
",
instance-505.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
c is on a.
d is on c.",ok,"unstack a from d;
put down a;
unstack d from c;
put down d;
unstack c from b;
put down c;
pick up a;
stack a on b;
pick up c;
stack c on a;
pick up d;
stack d on c;
",
instance-506.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
c is on b.
d is on c.",ok,"unstack d from a;
stack d on c;
unstack a from b;
put down a;
unstack d from c;
put down d;
pick up c;
stack c on b;
pick up d;
stack d on c;
pick up a;
stack a on d;
",
instance-507.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on d.
d is on c.",ok,"unstack c from a;
put down c;
unstack a from d;
stack a on b;
pick up d;
stack d on c;
unstack a from b;
put down a;
pick up b;
stack b on d;
pick up a;
stack a on b;
",
instance-508.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on b.
d is on c.",ok,"unstack a from b;
put down a;
unstack b from d;
put down b;
unstack d from c;
put down d;
pick up c;
stack c on b;
pick up d;
stack d on c;
",
instance-509.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
d is on a.",ok,"unstack b from d;
put down b;
unstack d from a;
put down d;
unstack a from c;
stack a on b;
pick up d;
stack d on a;
",
instance-510.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on a.
d is on b.",ok,"unstack c from b;
put down c;
unstack d from a;
stack d on b;
pick up c;
stack c on a;
",
instance-511.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
d is on a.",ok,"unstack d from b;
put down d;
unstack b from c;
put down b;
unstack c from a;
put down c;
pick up a;
stack a on c;
pick up d;
stack d on a;
",
instance-512.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
b is on a.
c is on d.",ok,"unstack a from b;
stack a on c;
unstack b from d;
put down b;
unstack a from c;
put down a;
pick up c;
stack c on d;
pick up a;
stack a on c;
pick up b;
stack b on a;
",
instance-513.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on c.
d is on a.",ok,"unstack a from c;
stack a on b;
unstack c from d;
put down c;
unstack a from b;
put down a;
pick up b;
stack b on c;
pick up a;
stack a on b;
pick up d;
stack d on a;
",
instance-514.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
b is on a.
d is on c.",ok,"unstack c from b;
put down c;
unstack b from d;
stack b on a;
pick up d;
stack d on c;
unstack b from a;
put down b;
pick up a;
stack a on d;
pick up b;
stack b on a;
",
instance-515.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on c.
d is on b.",ok,"unstack a from c;
put down a;
unstack c from b;
put down c;
unstack b from d;
stack b on c;
pick up d;
stack d on b;
",
instance-516.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on b.
d is on c.",ok,"unstack b from d;
put down b;
pick up c;
stack c on b;
pick up d;
stack d on c;
",
instance-517.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on c.
d is on a.",ok,"unstack b from c;
put down b;
unstack c from a;
put down c;
unstack a from d;
put down a;
pick up d;
stack d on a;
pick up b;
stack b on c;
",
instance-518.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
b is on d.",ok,"unstack d from b;
put down d;
unstack b from c;
stack b on d;
unstack c from a;
put down c;
pick up a;
stack a on c;
",
instance-519.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on c.
c is on d.",ok,"unstack a from b;
put down a;
unstack b from d;
put down b;
unstack d from c;
put down d;
pick up c;
stack c on d;
pick up b;
stack b on c;
pick up a;
stack a on b;
",
instance-520.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
c is on b.",ok,"unstack a from d;
put down a;
unstack d from b;
put down d;
pick up c;
stack c on b;
pick up a;
stack a on d;
",
instance-521.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
d is on a.",ok,"unstack b from c;
put down b;
unstack a from d;
stack a on c;
pick up d;
stack d on a;
",
instance-522.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
c is on d.",ok,"unstack b from d;
put down b;
unstack d from c;
put down d;
pick up a;
stack a on b;
pick up c;
stack c on d;
",
instance-523.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
b is on d.
d is on a.",ok,"unstack c from a;
put down c;
pick up a;
stack a on c;
unstack b from d;
put down b;
pick up d;
stack d on a;
pick up b;
stack b on d;
",
instance-524.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
c is on d.
d is on b.",ok,"unstack d from a;
stack d on b;
pick up c;
stack c on d;
pick up a;
stack a on c;
",
instance-525.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on c.
c is on a.",ok,"unstack d from b;
put down d;
pick up b;
stack b on c;
",
instance-526.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on c.",ok,"unstack a from c;
put down a;
pick up b;
stack b on c;
pick up a;
stack a on b;
",
instance-527.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on d.
d is on b.",ok,"unstack a from d;
put down a;
pick up d;
stack d on b;
pick up c;
stack c on d;
",
instance-528.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on a.
c is on b.",ok,"unstack c from d;
put down c;
unstack d from a;
put down d;
unstack a from b;
put down a;
pick up b;
stack b on a;
pick up c;
stack c on b;
",
instance-529.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on d.
d is on b.",ok,"unstack b from d;
put down b;
unstack d from a;
stack d on b;
pick up c;
stack c on d;
",
instance-530.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
c is on d.",ok,"unstack d from c;
put down d;
unstack c from a;
stack c on d;
pick up a;
stack a on c;
",
instance-531.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
d is on c.",ok,"pick up d;
stack d on c;
pick up a;
stack a on d;
",
instance-532.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
d is on b.",ok,"unstack c from d;
put down c;
unstack d from b;
put down d;
unstack b from a;
put down b;
pick up d;
stack d on b;
pick up a;
stack a on d;
",
instance-533.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
c is on b.",ok,"unstack b from a;
put down b;
unstack d from c;
put down d;
pick up c;
stack c on b;
pick up a;
stack a on c;
",
instance-534.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
d is on b.",ok,"unstack b from d;
put down b;
pick up d;
stack d on b;
",
instance-535.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
c is on b.",ok,"unstack a from b;
put down a;
unstack c from d;
stack c on b;
pick up a;
stack a on c;
",
instance-536.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
b is on c.
d is on b.",ok,"unstack d from a;
put down d;
unstack a from b;
stack a on d;
pick up b;
stack b on c;
unstack a from d;
put down a;
pick up d;
stack d on b;
pick up a;
stack a on d;
",
instance-537.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on a.
d is on b.",ok,"unstack d from a;
stack d on b;
unstack a from c;
put down a;
pick up c;
stack c on a;
",
instance-538.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on c.
d is on b.",ok,"unstack b from a;
stack b on c;
pick up d;
stack d on b;
",
instance-539.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on d.
c is on b.
d is on a.",ok,"unstack c from b;
put down c;
unstack b from d;
put down b;
pick up d;
stack d on a;
pick up b;
stack b on d;
pick up c;
stack c on b;
",
instance-540.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on d.
d is on b.",ok,"unstack d from a;
stack d on b;
unstack a from c;
put down a;
pick up c;
stack c on d;
",
instance-541.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
b is on a.
d is on c.",ok,"unstack d from a;
stack d on c;
unstack a from b;
stack a on d;
pick up b;
stack b on a;
",
instance-542.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
c is on b.",ok,"unstack d from b;
put down d;
unstack b from c;
put down b;
pick up c;
stack c on b;
pick up a;
stack a on c;
",
instance-543.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
d is on b.",ok,"unstack d from c;
put down d;
unstack c from b;
put down c;
unstack b from a;
put down b;
pick up a;
stack a on c;
pick up d;
stack d on b;
",
instance-544.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
d is on b.",ok,"unstack b from a;
put down b;
pick up d;
stack d on b;
pick up a;
stack a on d;
",
instance-545.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on c.",ok,"unstack d from a;
put down d;
unstack a from b;
put down a;
pick up b;
stack b on c;
",
instance-546.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
d is on b.",ok,"unstack a from c;
put down a;
unstack c from b;
put down c;
unstack b from d;
put down b;
pick up d;
stack d on b;
",
instance-547.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on d.
c is on a.",ok,"unstack a from c;
put down a;
unstack c from d;
stack c on a;
unstack d from b;
put down d;
pick up b;
stack b on d;
unstack c from a;
put down c;
pick up a;
stack a on b;
pick up c;
stack c on a;
",
instance-548.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on d.
c is on a.
d is on c.",ok,"unstack d from b;
put down d;
unstack b from a;
stack b on d;
unstack a from c;
put down a;
pick up c;
stack c on a;
unstack b from d;
put down b;
pick up d;
stack d on c;
pick up b;
stack b on d;
",
instance-549.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
b is on a.
d is on c.",ok,"unstack c from d;
put down c;
pick up d;
stack d on c;
unstack b from a;
put down b;
pick up a;
stack a on d;
pick up b;
stack b on a;
",
instance-550.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on c.
d is on a.",ok,"unstack a from d;
put down a;
pick up b;
stack b on c;
pick up d;
stack d on a;
",
instance-551.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.",ok,"unstack d from a;
put down d;
unstack a from c;
stack a on b;
",
instance-552.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
b is on c.
d is on b.",ok,"unstack a from c;
put down a;
unstack c from d;
put down c;
pick up a;
stack a on d;
pick up b;
stack b on c;
unstack a from d;
put down a;
pick up d;
stack d on b;
pick up a;
stack a on d;
",
instance-553.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
c is on b.
d is on c.",ok,"unstack a from b;
stack a on d;
pick up c;
stack c on b;
unstack a from d;
put down a;
pick up d;
stack d on c;
pick up a;
stack a on d;
",
instance-554.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
d is on a.",ok,"unstack b from d;
put down b;
unstack c from a;
put down c;
pick up d;
stack d on a;
",
instance-555.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on d.
c is on a.",ok,"unstack a from c;
put down a;
unstack c from b;
stack c on a;
",
instance-556.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.",ok,"unstack c from a;
put down c;
unstack a from d;
stack a on b;
",
instance-557.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on a.
d is on b.",ok,"pick up b;
stack b on a;
pick up d;
stack d on b;
",
instance-558.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on d.",ok,"unstack c from b;
put down c;
unstack a from d;
put down a;
pick up b;
stack b on d;
pick up a;
stack a on b;
",
instance-559.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
b is on d.
c is on b.",ok,"unstack a from d;
put down a;
unstack d from c;
put down d;
pick up b;
stack b on d;
pick up c;
stack c on b;
",
instance-560.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
b is on d.
d is on a.",ok,"unstack b from c;
put down b;
unstack c from d;
put down c;
unstack d from a;
put down d;
pick up a;
stack a on c;
pick up d;
stack d on a;
pick up b;
stack b on d;
",
instance-561.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on d.
d is on a.",ok,"unstack a from b;
put down a;
unstack b from d;
put down b;
pick up d;
stack d on a;
pick up c;
stack c on d;
",
instance-562.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
c is on d.
d is on a.",ok,"unstack a from c;
put down a;
unstack d from b;
stack d on a;
pick up c;
stack c on d;
",
instance-563.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
d is on b.",ok,"unstack b from d;
put down b;
pick up d;
stack d on b;
",
instance-564.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
b is on d.
d is on a.",ok,"unstack b from d;
put down b;
unstack d from c;
put down d;
pick up a;
stack a on c;
pick up d;
stack d on a;
pick up b;
stack b on d;
",
instance-565.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
c is on d.",ok,"unstack a from d;
put down a;
unstack d from c;
put down d;
unstack c from b;
stack c on d;
pick up a;
stack a on c;
",
instance-566.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on d.
b is on c.",ok,"unstack b from d;
stack b on c;
pick up a;
stack a on d;
",
instance-567.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on b.
b is on d.
c is on a.",ok,"unstack a from c;
stack a on b;
pick up c;
stack c on a;
",
instance-568.pddl,"blocks: a, b, c, d.

initial state:
your hand is empty.

goal state:
a is on c.
c is on d.
d is on b.",ok,"unstack d from a;
put down d;
unstack a from c;
put down a;
unstack c from b;
put down c;
pick up d;
stack d on b;
pick up c;
stack c on d;
pick up a;
stack a on c;
",
